"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina"
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_096_023","Salmiala, Bruno",1890,1981,"Male","46-55","1920-1960","Short","kapina","huomauttaa viittau päivä marraskuu anneta laki aiheeton huomauttaa kysymyksessäoleva laki laajentaa sotatilalainsäädäntö soveltaminen tapaus kapina uhata pääanen käsittämätön herra sisäasiainministeri kaikenlainen letkauksi koettaa tehdä seikka olematon herra sisäasiainministeri huomauttaa","huomauttaa viittau päivä marraskuu anneta laki aiheeton huomauttaa kysymyksessäoleva laki laajentaa sotatilalainsäädäntö soveltaminen tapaus kapina uhata pääanen käsittämätön herra sisäasiainministeri kaikenlainen letkauksi koettaa tehdä seikka olematon herra sisäasiainministeri huomauttaa","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_006_096","Tapaninen, Pekka",1893,1982,"Male","36-45","1920-1960","Very Long","kapina, vallankumous","herra puhe#mies edellinen puhuja ed pekkala puhe lausua väite isänmaallinen kansan#liike edustaja vastenmielinen mäntsälä kapina edus#kunta perä ottaa esille ed räisäni erikoisesti papei pyytää saada vakuuttaa ed räisänen yksintehdä puolesta vaiva ottaa kohta ed pekk#ala puhe kohdistaa esinä ed kareknen syytös ed kari harrastaa vallankumous vieläpä vakuuttaa vallankumous verinen ed räisäni puhua natsarealainen oninen todistus ensiksi esittää ed kares lausunto sydän vallankumouknen saadas asia aseistaa mies marssittaa esinä ed von borni puhe edus#kunta tekee vaikutus ed lohi mainita kauha kapina kysymys kysyä miksikä kapina puolustaa keskusta oikaa selittää asia vastata i monee ete joku hirmukua mielikuvitus tuote raivota hirmuisesti loihtimaa haamua emme väittäneetäs mäntsälä kapina suomi kansa keskuus spontaanisesti nousta ed lahdensuo lukea pöytä#kirja uudestaan mäntsälää kapina mäntsälä ryhtyä sentähden järjetön yrittää haaveilla maa sellainen isänmaallinen kansa pelko levottomuus yksi valitettava ilmiö mäntsälä kapina tietää hiljalleen marxilaisuus hiipiä tehdä kansa keskuudessa työtä nähdä konsuli valvo sentähden","herra puhemies edellinen puhuja ed pekkala puhe lausua väite isänmaallinen kansanliike edustaja vastenmielinen mäntsälä kapina eduskunta perä ottaa esille ed räisäni erikoisesti papei pyytää saada vakuuttaa ed räisänen yksintehdä puolesta vaiva ottaa kohta ed pekkala puhe kohdistaa esinä ed kareknen syytös ed kari harrastaa vallankumous vieläpä vakuuttaa vallankumous verinen ed räisäni puhua natsarealainen oninen todistus ensiksi esittää ed kares lausunto sydän vallankumouknen saadas asia aseistaa mies marssittaa esinä ed von borni puhe eduskunta tekee vaikutus ed lohi mainita kauha kapina kysymys kysyä miksikä kapina puolustaa keskusta oikaa selittää asia vastata i monee ete joku hirmukua mielikuvitus tuote raivota hirmuisesti loihtimaa haamua emme väittäneetäs mäntsälä kapina suomi kansa keskuus spontaanisesti nousta ed lahdensuo lukea pöytäkirja uudestaan mäntsälää kapina mäntsälä ryhtyä sentähden järjetön yrittää haaveilla maa sellainen isänmaallinen kansa pelko levottomuus yksi valitettava ilmiö mäntsälä kapina tietää hiljalleen marxilaisuus hiipiä tehdä kansa keskuudessa työtä nähdä konsuli valvo sentähden","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_052_006","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Very Long","vallankumous","tulla tulla tänäpäivä kymmenittäin ei ed kilpi kuulla ei ed kilpi tosiaan tietää aika kommunistinen vallankumous venäjä alkaa osa maa sivistyneistö tuhota tohtori kurki kirja selostaa olo maissa mainita neuvosto-venämankirjallisuus tahi julkisuuda muuten","tulla tulla tänäpäivä kymmenittäin ei ed kilpi kuulla ei ed kilpi tosiaan tietää aika kommunistinen vallankumous venäjä alkaa osa maa sivistyneistö tuhota tohtori kurki kirja selostaa olo maissa mainita neuvosto-venämankirjallisuus tahi julkisuuda muuten","Right",1,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1932_2_123_013","Tuomivaara, Eino",1887,1975,"Male","46-55","1920-1960","Short","vallankumous","omaisuus vielä puseronsakki lisätä vastustaja voima suuri kulkea vastustamaton vyöry lopullinen voitto vasen fi lopullinen vallankumous jatkua tapahtua minä isänmaallinen kansan#liike pää#määrä toteutua säätää tämäntapainen laki ankarasti pyrkiä käyttää isänmaallinen kansanliike","omaisuus vielä puseronsakki lisätä vastustaja voima suuri kulkea vastustamaton vyöry lopullinen voitto vasen fi lopullinen vallankumous jatkua tapahtua minä isänmaallinen kansanliike päämäärä toteutua säätää tämäntapainen laki ankarasti pyrkiä käyttää isänmaallinen kansanliike","Right",1,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_025_014","Simojoki, Elias",1899,1940,"Male","36-45","1920-1960","Long","sisällissota","estetä fascistisesti hallita maa rautainen vasta#rinta puuttumattomuus#komitea työskentely viivyttää ainoa järjellinen oikeudenmukainen ratkaisu tapahtuma espanja sanoa puuttumattomuus#komitea kokous sisällissota lontoo päivä maaliskuu saksaa suurlähettiläs von ribbentrop vastalausea puuttumattomuuskomitea väärinkäyttää kommunistinen propaganda harjoittaminen sellainen propaganda harjoittaa espanja punainen hallitus edus#kunta istunto päivä maaliskuu","estetä fascistisesti hallita maa rautainen vastarinta puuttumattomuuskomitea työskentely viivyttää ainoa järjellinen oikeudenmukainen ratkaisu tapahtuma espanja sanoa puuttumattomuuskomitea kokous sisällissota lontoo päivä maaliskuu saksaa suurlähettiläs von ribbentrop vastalausea puuttumattomuuskomitea väärinkäyttää kommunistinen propaganda harjoittaminen sellainen propaganda harjoittaa espanja punainen hallitus eduskunta istunto päivä maaliskuu","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_006_108","Somersalo, Arne",1891,1941,"Male","36-45","1920-1960","Very Short",NA,NA,NA,"Right",NA,NA
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1938_1_039_010","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Long","kapina","parlamentti jatkua nähtävästi mennä täysi vauhti marxilaispuolue vetää mennä käänne v nurja puoli nimittäin punainen kapina sisällöltänsä sellainen kajo mielellä hallitus aloite tuoda rikkomuksinen esitys pakko palata raskas rikos yksikään vapautta kunnioittaa maa sellainen tekijä armahtaa teko sitäpaitsi katua valitaa kapina onnistua erehdys valio#kunta luonnollisesti tutkia millainen herra tokoin aseellinen toiminta muurmanni kohtalokkkaasti vaikuttaa m","parlamentti jatkua nähtävästi mennä täysi vauhti marxilaispuolue vetää mennä käänne v nurja puoli nimittäin punainen kapina sisällöltänsä sellainen kajo mielellä hallitus aloite tuoda rikkomuksinen esitys pakko palata raskas rikos yksikään vapautta kunnioittaa maa sellainen tekijä armahtaa teko sitäpaitsi katua valitaa kapina onnistua erehdys valiokunta luonnollisesti tutkia millainen herra tokoin aseellinen toiminta muurmanni kohtalokkkaasti vaikuttaa m","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_029_024","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Short","kansalaissota","kapinallinen nousta pyytää vilpittö uskoa laillinen hallitus puolueusko pyytää huomauttaa millainen laillinen hallitus hallitus#aika ennenkuin kansalais#sota alkaa totuus unohtua v saada espanja tuntea maksaa kommunisti valta pyrkimys kommunisti levottomuus saada nimittäin sura henki","kapinallinen nousta pyytää vilpittö uskoa laillinen hallitus puolueusko pyytää huomauttaa millainen laillinen hallitus hallitusaika ennenkuin kansalaissota alkaa totuus unohtua v saada espanja tuntea maksaa kommunisti valta pyrkimys kommunisti levottomuus saada nimittäin sura henki","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_1_004_008","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Long","vapaussota","taistelu taistella ympärillä muutama harva poikkeusaiko lukuunottamatta sydän lämmittää asettaa itse isänmaallinen pää#määrä jokin poikkeusaiko sortovuosi raskas vapaus#sota senjälkeinen rappeutuminen hetki sellainen ylioppilaspolvi nousta vanha innostus nostaa maa vanha taisteluanen käyttää","taistelu taistella ympärillä muutama harva poikkeusaiko lukuunottamatta sydän lämmittää asettaa itse isänmaallinen päämäärä jokin poikkeusaiko sortovuosi raskas vapaussota senjälkeinen rappeutuminen hetki sellainen ylioppilaspolvi nousta vanha innostus nostaa maa vanha taisteluanen käyttää","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1936_1_037_047","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Long","sisällissota","maa valtiopetos laillinen tekeminen omituinen yhteensattuma sama rauhankongressi aika neuvostovenäläinen rauhanlähetystö rauhankokous espanja alkaa punainen toiminta vaikutus sisällissota neuvosto-venäjä erikoisesti antaa apu rauhanajatus palveleminen antaa päivä elokuu määräys alenneta sotapalvelus ikä#raja vuosi miesvahvuus lisääntyä","maa valtiopetos laillinen tekeminen omituinen yhteensattuma sama rauhankongressi aika neuvostovenäläinen rauhanlähetystö rauhankokous espanja alkaa punainen toiminta vaikutus sisällissota neuvosto-venäjä erikoisesti antaa apu rauhanajatus palveleminen antaa päivä elokuu määräys alenneta sotapalvelus ikäraja vuosi miesvahvuus lisääntyä","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_005_035","Annala, Vilho",1888,1960,"Male","46-55","1920-1960","Very Long","vapaussota","laki isän#maa uhata peloittava vaara kansa sielu asua pelko katkeruus ruveta vähitellen muuttua viha oma lisätä kansalaissoda muuttua vapaussota kaikki kauhu via viha pohja voimakas isänmaanrakkaus aiheuttaa sellainen voimakas innostus ilmaisu talonpoikaismarssia puoli hyvin","laki isänmaa uhata peloittava vaara kansa sielu asua pelko katkeruus ruveta vähitellen muuttua viha oma lisätä kansalaissoda muuttua vapaussota kaikki kauhu via viha pohja voimakas isänmaanrakkaus aiheuttaa sellainen voimakas innostus ilmaisu talonpoikaismarssia puoli hyvin","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_006_111","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Long",NA,NA,NA,"Right",NA,NA
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1938_1_026_035","Wainio, Veikko",1894,1972,"Male","36-45","1920-1960","Very Short","kapina","ed kivisalo puhe kuunella suuri mielihyvä niinkuin niinkuin kuunnella loppu lopuksi sotkä umn lamn yrittää todistaa kapina johtaja kiihoittua joukko olko kiihoittaa luulla kiihoitus tapahtua johtajain puoli","ed kivisalo puhe kuunella suuri mielihyvä niinkuin niinkuin kuunnella loppu lopuksi sotkä umn lamn yrittää todistaa kapina johtaja kiihoittua joukko olko kiihoittaa luulla kiihoitus tapahtua johtajain puoli","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_045_073","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Long","kapina","sitten tahtoisin katsoa kokonaisuus suomi kansa elämä nykyinen kansanvaltainen järjestelmä kokonaisuudessaam ed kares verinen kapina kapina surullinen koetus kykenla sentään onnellisesti selviytyä samoinkuin mäntsälä kapina edus#kunta naurua kyetä kansanvaltainen valtiojärjestelmä turva sittenkin","sitten tahtoisin katsoa kokonaisuus suomi kansa elämä nykyinen kansanvaltainen järjestelmä kokonaisuudessaam ed kares verinen kapina kapina surullinen koetus kykenla sentään onnellisesti selviytyä samoinkuin mäntsälä kapina eduskunta naurua kyetä kansanvaltainen valtiojärjestelmä turva sittenkin","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_014_015","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Long","kapina","puhuja sanomalehtikirjoittaja sanoa isänmaallinen kansan#liike tehdä laittomuus perä tehdä vasen mäntsälä kapina se järjetön ri mäntsälä vetoaminen mikään kielto kansa ajattelea mieli tietää puolue#valta yritys hävittää ryhmä","puhuja sanomalehtikirjoittaja sanoa isänmaallinen kansanliike tehdä laittomuus perä tehdä vasen mäntsälä kapina se järjetön ri mäntsälä vetoaminen mikään kielto kansa ajattelea mieli tietää puoluevalta yritys hävittää ryhmä","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_014_014","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","kapina","lujasti taistelu innostus taistelu hei yhdistys#laki muuttaminen tää kuolema pelkäämättömyyti muistuttaa ed räisäni hiä hän osoittaa kapina johtua jokin punainen puku kyllä käyttelä pappila tulla punainen päällikkö saada itse lakiksi punainen","lujasti taistelu innostus taistelu hei yhdistyslaki muuttaminen tää kuolema pelkäämättömyyti muistuttaa ed räisäni hiä hän osoittaa kapina johtua jokin punainen puku kyllä käyttelä pappila tulla punainen päällikkö saada itse lakiksi punainen","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_069_132","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Short",NA,NA,NA,"Right",NA,NA
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_029_023","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Long","sisällissota","itali vuosikaunen varustaa kapinallinen ase asianlas varma espanja verinen sisällis#sota aika lopettaa olla kieltämätön tosianen punainen laillinen hallitus avuton valta täydellinen sekasorto väki totisesti merkitys maa hyvä asian#tuntija ala sanoa vanha kohteliaisuus sisällissota tähti meidä hyväksyä mikään muu syy no valio#kunta naivi usko lain#säädäntö tarkoittaa täys puolueettomuus","itali vuosikaunen varustaa kapinallinen ase asianlas varma espanja verinen sisällissota aika lopettaa olla kieltämätön tosianen punainen laillinen hallitus avuton valta täydellinen sekasorto väki totisesti merkitys maa hyvä asiantuntija ala sanoa vanha kohteliaisuus sisällissota tähti meidä hyväksyä mikään muu syy no valiokunta naivi usko lainsäädäntö tarkoittaa täys puolueettomuus","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_045_056","Somersalo, Arne",1891,1941,"Male","36-45","1920-1960","Long","luokkasota","re antaa olla selviö internationale olla propagandatarkoitus yltää tehtävä saattaa voimaan noin s köyhälistödiktatuuri sytyttää luokka#sota panna toimi maailmanvallankumous kysymyksenalainen virka#mies venäjä hallitus kommunistinen internationale hyväksyminen luettelo tarkastus paljastaa tosi#asia","re antaa olla selviö internationale olla propagandatarkoitus yltää tehtävä saattaa voimaan noin s köyhälistödiktatuuri sytyttää luokkasota panna toimi maailmanvallankumous kysymyksenalainen virkamies venäjä hallitus kommunistinen internationale hyväksyminen luettelo tarkastus paljastaa tosiasia","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_088_028","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","kapina, vallankumous","ed j ann#ala hyväksyä väki#valta tällainen väki#valtainen tapahtuma menestyä kansan#valta kukistaja hävitettäinen kukistaja saada jälkimaailma muistopatsa kapina menestyä saada hiritonuora ed vesterinen no or selvä vallankumous laki vallankumous tehdä hyvä tarkoitus tehä herra kukistaja hävitettäinen kukistaja saada jälkimaailma muistopatsa kapina menestyä saada hiritonuora ed vesterinen no or selvä vallankumous laki vallankumous tehdä hyvä tarkoitus tehä herra oikea johto#päätös saada oikea raja ei ruveda esiintyä puolustaa","ed j annala hyväksyä väkivalta tällainen väkivaltainen tapahtuma menestyä kansanvalta kukistaja hävitettäinen kukistaja saada jälkimaailma muistopatsa kapina menestyä saada hiritonuora ed vesterinen no or selvä vallankumous laki vallankumous tehdä hyvä tarkoitus tehä herra kukistaja hävitettäinen kukistaja saada jälkimaailma muistopatsa kapina menestyä saada hiritonuora ed vesterinen no or selvä vallankumous laki vallankumous tehdä hyvä tarkoitus tehä herra oikea johtopäätös saada oikea raja ei ruveda esiintyä puolustaa","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1938_1_018_022","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","vapaussota","tärkeä asema kommunisti silloinen lako nimenomainen tarkoitus hävittää suomalainen elinkeinoelämä tehdä venäjä riippua kukistaa taistella vapaus#sota loppu ed räisainen kutsuntalakkko sanoa tahto huomauttaa tavallinen kysymys työpalkoinen työn#antaja","tärkeä asema kommunisti silloinen lako nimenomainen tarkoitus hävittää suomalainen elinkeinoelämä tehdä venäjä riippua kukistaa taistella vapaussota loppu ed räisainen kutsuntalakkko sanoa tahto huomauttaa tavallinen kysymys työpalkoinen työnantaja","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1938_1_022_008","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","sisällissota, kapina","estää voima vaikutus vaatia julkinen puuttuminen espanja huomata merkillinen ilmiö nykyinen hetki usea puolueparlamenttaaris maitten rauha ystävä sisällissota c0 -1 n.s oikeus puolustaja jvrkä vasemmistolaisaines vaatia avoin puuttuminen hallitus puoli espanja sisällissota päivä päivä puna-espanja sellainen peruskirja nimittäin pyhä allianssi peruskirja itsevaltiaa hallitsija sitoutua itsevaltia ahdisteta hyökkäää itsevaltiaan tavalla periaate kukistaa unkari kapina venäjä kansana tainen ajatus#tapa sentään jyrkästi tuomita tämmöinen menettelytava kansa#kunta sisällinen asiai kansalainen tehdä puhua valtiovalla hallitusvalla maailma täydellinen hullujenhuone hallitus#valta rientää auttaa jokin maa tehdä kapina laillinen hallitus lähde myöntää puuttumattomuussopimuknen hyötyä maa hallitus#mies riippuvainen","estää voima vaikutus vaatia julkinen puuttuminen espanja huomata merkillinen ilmiö nykyinen hetki usea puolueparlamenttaaris maitten rauha ystävä sisällissota c0 -1 n.s oikeus puolustaja jvrkä vasemmistolaisaines vaatia avoin puuttuminen hallitus puoli espanja sisällissota päivä päivä puna-espanja sellainen peruskirja nimittäin pyhä allianssi peruskirja itsevaltiaa hallitsija sitoutua itsevaltia ahdisteta hyökkäää itsevaltiaan tavalla periaate kukistaa unkari kapina venäjä kansana tainen ajatustapa sentään jyrkästi tuomita tämmöinen menettelytava kansakunta sisällinen asiai kansalainen tehdä puhua valtiovalla hallitusvalla maailma täydellinen hullujenhuone hallitusvalta rientää auttaa jokin maa tehdä kapina laillinen hallitus lähde myöntää puuttumattomuussopimuknen hyötyä maa hallitusmies riippuvainen","Right",0,0
