"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina","Natioanalism","Socialism","Pacifst"
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1922_1_029_082","Ingman, Lauri",1868,1934,"Male","46-55","1920-1960","Long","vallankumous, kapina","menettelyta työväi valtiollinen valta käsi diktatuuria käyttää hallitseva ryhmä täytyä tapahtua valtiollinen vallankumous ennenkuin kysymys proletariaatti diktatuuri käyttö olla päivä polttaa kysymys jonkalainen kommunistinen puolue esittää olla kuulla vasen totuus vaarallinen olla syvttää penkki vakavasti syytetty penkki uskalltaa esllnty svyttäe panna toimi verinen kapina houkutella työväki tehdä rikos työ#väki esiinnytä röyhkeästi syyttäjä tehdä omituinen vaikutus kuulla herra sosiali#demokraatti niinkuin","menettelyta työväi valtiollinen valta käsi diktatuuria käyttää hallitseva ryhmä täytyä tapahtua valtiollinen vallankumous ennenkuin kysymys proletariaatti diktatuuri käyttö olla päivä polttaa kysymys jonkalainen kommunistinen puolue esittää olla kuulla vasen totuus vaarallinen olla syvttää penkki vakavasti syytetty penkki uskalltaa esllnty svyttäe panna toimi verinen kapina houkutella työväki tehdä rikos työväki esiinnytä röyhkeästi syyttäjä tehdä omituinen vaikutus kuulla herra sosialidemokraatti niinkuin","Right",0,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1977_1_138_132","Junnila, Tuure",1910,1999,"Male","66+","1960-2000","Long","vallankumous","suomi nousta kapina laillinen svinhufvuti johtaa hallitus leni nimittäin toivoa eittämätön historiallinen tosianen suomi tapahtua samanlainen yhteis#kunnallinen vallankumous johdolla toimeenpantu venäjä ed e laine välihuuto ed laine lenini toive toteutua ed e laine toteutua suomi laine ed junnila kertoa ed ehrnrooth jokin myöhemmi yhteys suomi itsenäisyys käydä lenini toivoa yhteis#kunnallinen vallankumous tapahtua käydä laneta ikuinen ansio mannerheima jääkäri johtama talonpoikaisarmeija ratkaisea osuud suomi itsenäistyminen juhlavuos","suomi nousta kapina laillinen svinhufvuti johtaa hallitus leni nimittäin toivoa eittämätön historiallinen tosianen suomi tapahtua samanlainen yhteiskunnallinen vallankumous johdolla toimeenpantu venäjä ed e laine välihuuto ed laine lenini toive toteutua ed e laine toteutua suomi laine ed junnila kertoa ed ehrnrooth jokin myöhemmi yhteys suomi itsenäisyys käydä lenini toivoa yhteiskunnallinen vallankumous tapahtua käydä laneta ikuinen ansio mannerheima jääkäri johtama talonpoikaisarmeija ratkaisea osuud suomi itsenäistyminen juhlavuos","Right",1,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s2022_1_041_175","Kaleva, Atte",1979,NA,"Male","36-45","2001-Present","Short","kapina, sisällissota","velka itsenäisyys kerta valmis itsenäisyys yksittäinen teko prosessi kansallinen yksituumaisuut valitettavasti murtua alkaa punainen kapina sisällissota seurata oikeistoradikalismin nousu yhteinen tie pitää löytää uudestaan auttaa yhteinen vihollinen maailma kuohua veteraaneista sanoa sota velka itsenäisyys kerta valmis itsenäisyys yksittäinen teko prosessi kansallinen yksituumaisuut valitettavasti murtua alkaa punainen kapina sisällissota seurata oikeistoradikalismin nousu yhteinen tie pitää löytää uudestaan auttaa yhteinen vihollinen maailma kuohua veteraaneista sanoa sota itsenäisyyt","velka itsenäisyys kerta valmis itsenäisyys yksittäinen teko prosessi kansallinen yksituumaisuut valitettavasti murtua alkaa punainen kapina sisällissota seurata oikeistoradikalismin nousu yhteinen tie pitää löytää uudestaan auttaa yhteinen vihollinen maailma kuohua veteraaneista sanoa sota velka itsenäisyys kerta valmis itsenäisyys yksittäinen teko prosessi kansallinen yksituumaisuut valitettavasti murtua alkaa punainen kapina sisällissota seurata oikeistoradikalismin nousu yhteinen tie pitää löytää uudestaan auttaa yhteinen vihollinen maailma kuohua veteraaneista sanoa sota itsenäisyyt","Right",0,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1946_1_089_004","Hetemäki, Päiviö",1913,1980,"Male","25-35","1920-1960","Very Long","kapina","karj#ala liitto sotainvaliidi veljesliitto suomi tietotoimisto järjestö toiminta tällainen evästyksi pidättää vapautettiinkki pidätetyltä alkaa valtiollinen poliinen raportti kapina y.m hanke vaatia usea ote valtiollinen poliisi agentti kuulustelija uhata NA jos ei tieto rupi tulla pidättää","karjala liitto sotainvaliidi veljesliitto suomi tietotoimisto järjestö toiminta tällainen evästyksi pidättää vapautettiinkki pidätetyltä alkaa valtiollinen poliinen raportti kapina y.m hanke vaatia usea ote valtiollinen poliisi agentti kuulustelija uhata NA jos ei tieto rupi tulla pidättää","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1935_2_020_044","Horelli, Toivo",1888,1975,"Male","46-55","1920-1960","Very Long","vapaussota, vallankumous","armeija suurimpina erikoisesti vohjois-hämäläinen loukata tampere valtauspäivä kaupunki johto taho virallisesti yhtyä juhlia tampere valloitus muisto valloitus isuomi vapaussota asia ratkaistim siniristilipa täytyä sivullis toimi mainita päivä vetää kaupunki julkinen rakennus katoi liehua erikoinen ärsyttävä tuntua kaupunki johto menettely huhtikuu alkupäiä jolloinka halu jatkaa punainen vallankumous symboole punainen lippu olla pohjois hämei ottaa täys sosialidemokraati p nä huhtikuu kirjoittaa sana osa kuulua vallankumous väri punainen tulinen ser yhteis#kunnallinen luomis#työ elää palaa sellainen sc lippu suomi porvaristo punaistenkki lippu ennustaa punainen vallankumous malli täys päättää valmistella yrittää toteuttaa tampere kokemus millainen vallankumous käytäntö $ sosialidemokraatti kirjoitustakki tietää tulinen punainen kaatua luku#määrä poro polttaa kaupungin#osa huhtikuu alkupäivä","armeija suurimpina erikoisesti vohjois-hämäläinen loukata tampere valtauspäivä kaupunki johto taho virallisesti yhtyä juhlia tampere valloitus muisto valloitus isuomi vapaussota asia ratkaistim siniristilipa täytyä sivullis toimi mainita päivä vetää kaupunki julkinen rakennus katoi liehua erikoinen ärsyttävä tuntua kaupunki johto menettely huhtikuu alkupäiä jolloinka halu jatkaa punainen vallankumous symboole punainen lippu olla pohjois hämei ottaa täys sosialidemokraati p nä huhtikuu kirjoittaa sana osa kuulua vallankumous väri punainen tulinen ser yhteiskunnallinen luomistyö elää palaa sellainen sc lippu suomi porvaristo punaistenkki lippu ennustaa punainen vallankumous malli täys päättää valmistella yrittää toteuttaa tampere kokemus millainen vallankumous käytäntö $ sosialidemokraatti kirjoitustakki tietää tulinen punainen kaatua lukumäärä poro polttaa kaupunginosa huhtikuu alkupäivä","Right",0,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s2022_1_127_063","Autto, Heikki",1984,NA,"Male","36-45","2001-Present","Very Short","vapaussota","valitettava todeta ajatella suomi valtiollinen historia asia pystyä sopu löytää ajatella itsenäistyminen alkuvaiheinen vapaussota muututtu veljessoda johtaa tilanne veli veli saada sovita ahvenana väestö valtiollinen","valitettava todeta ajatella suomi valtiollinen historia asia pystyä sopu löytää ajatella itsenäistyminen alkuvaiheinen vapaussota muututtu veljessoda johtaa tilanne veli veli saada sovita ahvenana väestö valtiollinen","Right",0,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1989_1_129_030","Holkeri, Harri",1937,2011,"Male","46-55","1960-2000","Long","vallankumous","vakuuttaa suomi metää kansallinen päätäntäoikeutta sopimus ed jokinen edus#kunta hyväksyä vieras valtios merkitä asteinen päätäntäoikeus rajoittaminen ranskka vallankumous aika laa metrinen järjestelmä metrimitta kulua suomestakki hävitä kyynärkä kansallinen mittaustava kumma omaksu","vakuuttaa suomi metää kansallinen päätäntäoikeutta sopimus ed jokinen eduskunta hyväksyä vieras valtios merkitä asteinen päätäntäoikeus rajoittaminen ranskka vallankumous aika laa metrinen järjestelmä metrimitta kulua suomestakki hävitä kyynärkä kansallinen mittaustava kumma omaksu","Right",1,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1922_1_027_037","Nikkanen, Ville",1885,1960,"Male","36-45","1920-1960","Short","vapaussota","suojeluskuntajärjestötää valtiollinen itsenäisyys valtiollinen vapaus elää maa venäläinen äärimmi hurjistua mieli#valta alainen kieltää senjäle vapaus#sota saada onnekkaasti loppuunsuoriteta porvarillisi piirei esiintyä sellainen ajatus suojeluskunta#liike voida lopettaa liike tarve","suojeluskuntajärjestötää valtiollinen itsenäisyys valtiollinen vapaus elää maa venäläinen äärimmi hurjistua mielivalta alainen kieltää senjäle vapaussota saada onnekkaasti loppuunsuoriteta porvarillisi piirei esiintyä sellainen ajatus suojeluskuntaliike voida lopettaa liike tarve","Right",0,0,1,0,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_2_001_005","Talas, Onni",1877,1958,"Male","36-45",NA,"Very Short","vallankumous","määrätä vaalit toimitettavi nykyinen edus#kunta hajoittaa suomi kansa lähimä tulevaisuus tilaisuus päättää valtiollinen kysymys ratkaistaa venäjä vallankumous meidä maassa herättää nykyinen eduskunna valita toinen olo valitsija vapaasti voida esiintuoda mielipiteitään suomi valtiollinen asema järjestäminen","määrätä vaalit toimitettavi nykyinen eduskunta hajoittaa suomi kansa lähimä tulevaisuus tilaisuus päättää valtiollinen kysymys ratkaistaa venäjä vallankumous meidä maassa herättää nykyinen eduskunna valita toinen olo valitsija vapaasti voida esiintuoda mielipiteitään suomi valtiollinen asema järjestäminen","Center",1,0,1,0,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_099_013","Hultin, Tekla",1864,1943,"Female","46-55","Civil_War","Very Short","vallankumous","tahtoa huomauttaa $ ää suinkaan ensimäinen mainita suomi itsenäisyys puolustaminen vedota valtio-oikeus professori erich venäjä vallankumous syöstä nikolai n venäjä suomi valtaistuimi katsoa suomi nojalla oikeus erota venäjä valita itselli kuningas vasemmisto","tahtoa huomauttaa $ ää suinkaan ensimäinen mainita suomi itsenäisyys puolustaminen vedota valtio-oikeus professori erich venäjä vallankumous syöstä nikolai n venäjä suomi valtaistuimi katsoa suomi nojalla oikeus erota venäjä valita itselli kuningas vasemmisto","Center",1,0,1,0,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1918_1_041_024","Castrén, Arthur",1866,1946,"Male","46-55","Civil_War","Long","kapina","suuri määrä kohota maa olla riippuva asema arvonnousu arvioida suuremma miljaardi markka sisäinen kapina laskea tulla tuleva maksaa nykyään toinen edistyminen ansio mahdollisuus puoli valtiollinen asema","suuri määrä kohota maa olla riippuva asema arvonnousu arvioida suuremma miljaardi markka sisäinen kapina laskea tulla tuleva maksaa nykyään toinen edistyminen ansio mahdollisuus puoli valtiollinen asema","Center",0,1,1,0,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_073_014","Linna, Eemil",1876,1951,"Male","36-45","Civil_War","Very Long","kapina","maanomistusolo epäkohti vetooa moni verroin suurentaa olemattomiakki epä#kohta keksiä saada meikäläinen sosialidemokratia johto torppari#luokka kapina-aattei vastaanottaa käydä kapina saada laajuus muistaa vuokraajaluokka eritoten torppari muodostaa maalaistyöväestö ainesllisesti vankka henkisesti valveutunei osa varmuus kestävyys tasaisesti kansallisvärallisuus levitä suuremma kasvaa yhteis#kunta säilyttäva ainenen määrä vaikeamma käydä sellainen yhteiskuntamullistus yrittäminenätä äsken kukistaa kapina kansallinen varallisuus levitä tasaisesti määrä kansa jäsen omistaa tuotantoväline kaikkein tärkeä nimittäin maa maa omistaa","maanomistusolo epäkohti vetooa moni verroin suurentaa olemattomiakki epäkohta keksiä saada meikäläinen sosialidemokratia johto torppariluokka kapina-aattei vastaanottaa käydä kapina saada laajuus muistaa vuokraajaluokka eritoten torppari muodostaa maalaistyöväestö ainesllisesti vankka henkisesti valveutunei osa varmuus kestävyys tasaisesti kansallisvärallisuus levitä suuremma kasvaa yhteiskunta säilyttäva ainenen määrä vaikeamma käydä sellainen yhteiskuntamullistus yrittäminenätä äsken kukistaa kapina kansallinen varallisuus levitä tasaisesti määrä kansa jäsen omistaa tuotantoväline kaikkein tärkeä nimittäin maa maa omistaa","Center",0,1,1,0,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_067_004","Ståhlberg, K. J.",1865,1952,"Male","46-55","Civil_War","Very Long","kapina","vastainen yhteiskunnallinen valtiollinen tekijä tarvita ottaa lukuun kannatus vastustus tyytyväisyyt tyytymättömyys valtionlaitos lujuus edellytys käsitettää äskeinen kapina laillinen yhteis#kunta yhteiskuntajärjestys esiintyä yhteiskunnallinen siteitten höltyminen vallattomuus yhteishenki puute omia herättää epäluottamus suomi kansa kyky kunto","vastainen yhteiskunnallinen valtiollinen tekijä tarvita ottaa lukuun kannatus vastustus tyytyväisyyt tyytymättömyys valtionlaitos lujuus edellytys käsitettää äskeinen kapina laillinen yhteiskunta yhteiskuntajärjestys esiintyä yhteiskunnallinen siteitten höltyminen vallattomuus yhteishenki puute omia herättää epäluottamus suomi kansa kyky kunto","Center",0,1,1,1,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_098_006","Ståhlberg, K. J.",1865,1952,"Male","46-55","Civil_War","Very Long","vallankumous","milloin katsoa kiireellinen maa elää sellainen olo valtio#muoto tärkeä osa voida noudattaa venäjä vallankumous sellainen tosi#asiallisesti muuttaa maa valtiollinen asema moni valtiomuoto säännöksiä el voida sovelluttaa sitten maa joulukuu päivä","milloin katsoa kiireellinen maa elää sellainen olo valtiomuoto tärkeä osa voida noudattaa venäjä vallankumous sellainen tosiasiallisesti muuttaa maa valtiollinen asema moni valtiomuoto säännöksiä el voida sovelluttaa sitten maa joulukuu päivä","Center",1,0,1,0,0
"Nuorsuomalaiset (1994-1999)","http://ldf.fi/semparl/speeches/s1996_1_090_012","Penttilä, Risto",1959,NA,"Male","36-45","1960-2000","Long","vallankumous","käyttöönottaja ranska päätös seurata suomi automaattisesti kopioida tällainen ratkaisu syy miettiä sotilasteknologia tapahtua vallankumous tarkoittaa maan#puolustus perspektiivinen valmiusjoukko perustaminen mieli oiva mahdollisuus tutkia ammattimainen armei liittyä rakenne toiminta yhdistäminen yleinen asevelvollisuus korostaa","käyttöönottaja ranska päätös seurata suomi automaattisesti kopioida tällainen ratkaisu syy miettiä sotilasteknologia tapahtua vallankumous tarkoittaa maanpuolustus perspektiivinen valmiusjoukko perustaminen mieli oiva mahdollisuus tutkia ammattimainen armei liittyä rakenne toiminta yhdistäminen yleinen asevelvollisuus korostaa","Center",1,0,1,0,0
"Perustuslaillinen oikeistopuolue","http://ldf.fi/semparl/speeches/s1978_1_167_048","Rainio, Kullervo",1924,2020,"Male","46-55","1960-2000","Very Long","vallankumous, kapina","mahtua syy ihmeittää näh joutua todeta aikaisemmin ed knuut#tila pää nousta kyllä tietää lokakuu vallankumous maa merkitä ed p puhakka itsenäisyys tietää maaliskuu vallankumous seuraus mahdollisuus irtautua venäjä ella personaaliunioni tsaarin#valta venäjä pitää juhlia ed rytköinen asia suoma kysymys nimen#omaan lokakuu vallankumous välittömästi erityinen yllytys kapina maa laillinen hallitus kapina tam mikuä alkaa ed honkonen lisäbudjetinen kysymys lisäbudjeti ed honkonen esittää markka käyttää lokakuu vallankumous juhliminen suoma nimen#omaan suomi kuulua ed honkonen edustaja pois pöntö kysymys nimen#omaan esittää maall vieras yhteiskuntajärjestelmä valta saattaminen juhliminen totalitaarinen yhteiskuntajärjestelmä juhliminen lokakuu vallankumous tapahtua valtio toteuttaa totalitaarinen yhteis#kunta seuraus kysymys min virolainen suomi ihmetellä suuresti näkemys ministeri virolainen","mahtua syy ihmeittää näh joutua todeta aikaisemmin ed knuuttila pää nousta kyllä tietää lokakuu vallankumous maa merkitä ed p puhakka itsenäisyys tietää maaliskuu vallankumous seuraus mahdollisuus irtautua venäjä ella personaaliunioni tsaarinvalta venäjä pitää juhlia ed rytköinen asia suoma kysymys nimenomaan lokakuu vallankumous välittömästi erityinen yllytys kapina maa laillinen hallitus kapina tam mikuä alkaa ed honkonen lisäbudjetinen kysymys lisäbudjeti ed honkonen esittää markka käyttää lokakuu vallankumous juhliminen suoma nimenomaan suomi kuulua ed honkonen edustaja pois pöntö kysymys nimenomaan esittää maall vieras yhteiskuntajärjestelmä valta saattaminen juhliminen totalitaarinen yhteiskuntajärjestelmä juhliminen lokakuu vallankumous tapahtua valtio toteuttaa totalitaarinen yhteiskunta seuraus kysymys min virolainen suomi ihmetellä suuresti näkemys ministeri virolainen","Right",0,0,1,0,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1927_1_042_124","Liedes, Jaakko",1886,1958,"Male","36-45","1920-1960","Very Long","kapina","syy nykyinen yhteis#kunta sisäinen nu sellainen rinkurisuus järjettömyys saattaa tapahtua nykyinen kapitalistinen valtio taloudellinen valtiollinen toiminta määrä muutama harva voitonhimo kapina tällainen yhteis#kunnallinen järjestys ymmärrettää ottaa huomio vuosittain uudistua kokemus työtätekevä väestö huutaa puute työttömyys kynsi pitää valtio velvollisuus varata osa","syy nykyinen yhteiskunta sisäinen nu sellainen rinkurisuus järjettömyys saattaa tapahtua nykyinen kapitalistinen valtio taloudellinen valtiollinen toiminta määrä muutama harva voitonhimo kapina tällainen yhteiskunnallinen järjestys ymmärrettää ottaa huomio vuosittain uudistua kokemus työtätekevä väestö huutaa puute työttömyys kynsi pitää valtio velvollisuus varata osa","Center",0,1,1,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1927_1_022_097","Latva, Toivo",1902,NA,"Male","25-35","1920-1960","Long","kansalaissota","tehdä maa isäna muu kapitalistei keskusta ryssi taistella suojeluskunta rinta saksalainen imperialismi työtätekevä väestö keskusta ryssi kansalais#sota lopettaa työläinen joukkomurhi suojeluskunti johtava aines ryhtyä hankkia maa monarkistinen valtio#muoto muodostaa maa saksalainen vasallivaltio kas sellainen suojeluskunti isänmaallisuus","tehdä maa isäna muu kapitalistei keskusta ryssi taistella suojeluskunta rinta saksalainen imperialismi työtätekevä väestö keskusta ryssi kansalaissota lopettaa työläinen joukkomurhi suojeluskunti johtava aines ryhtyä hankkia maa monarkistinen valtiomuoto muodostaa maa saksalainen vasallivaltio kas sellainen suojeluskunti isänmaallisuus","Center",0,0,1,0,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1928_1_059_037","Kulmala, Kalle",1891,1936,"Male","36-45","1920-1960","Long","kansalaissota, vapaussota, luokkasota","huomauttaa päivä viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua julkea väärentäminen se joulukun päivä merkitä riippumattomuus julistamispäivä suorittaa silloinen edus#kunta yksimielisesti osoitus tammikuu loppu porvaristo aloittaa syntyä luokkasota taistelu valtiollinen itsenäisyys luokka välinen sota yhteis#kunnallinen valta työläinen torppari#luokka luokkataisteluehto yhteis#kunnallinen prosessi pakottaa käydä vallankumoustaistelu elämä","huomauttaa päivä viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua julkea väärentäminen se joulukun päivä merkitä riippumattomuus julistamispäivä suorittaa silloinen eduskunta yksimielisesti osoitus tammikuu loppu porvaristo aloittaa syntyä luokkasota taistelu valtiollinen itsenäisyys luokka välinen sota yhteiskunnallinen valta työläinen torppariluokka luokkataisteluehto yhteiskunnallinen prosessi pakottaa käydä vallankumoustaistelu elämä","Center",0,0,1,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1928_1_035_032","Rosenberg, Mauritz",1879,1941,"Male","46-55","1920-1960","Long","kapina","—sosialidemokraatti vastalausei eräs lainaus ajatella saada sosialidemokraattinen ryhmä hyväksyä esitys sovitta kyseellinen kohta pykälä kuulua kapina laki olla joukko henkilö koettaa vastoin oikeusjärjestys ase#voima toteuttaa valtiollinen tarkoitusperi kuuluva —sosialidemokraatti viimekertainen vastalause asia pyrkimys väkivaltaisesti kumota voimassaoleva yhteiskuntajärjestys sivuuttaa toteuttaa valtiollinen tarkoitusperä näennäisesti löytyvinä verrattain tarkka määritelmä kapina hallitus ajatella luultavasti hallitus perustelu tulla laki voimaan vastaisuudessa tulkitsea sota#tila sittenkin kaikki julistaa muu aikaisem min pykälää lause loppua sana sanoa tasa#valta presidentti julistaa valta#kunta ta#kunta puolustus oikeusjärjestyinen voimassapitäminen vaatia kapina sota uhkaaa omistuskysymyknen nähden ryhtyä mikään — tekstimuutoknen esilläolevassa ehdotus vaikka esinä valio#kunta olleenen la-tal uhata osa sota#tila","—sosialidemokraatti vastalausei eräs lainaus ajatella saada sosialidemokraattinen ryhmä hyväksyä esitys sovitta kyseellinen kohta pykälä kuulua kapina laki olla joukko henkilö koettaa vastoin oikeusjärjestys asevoima toteuttaa valtiollinen tarkoitusperi kuuluva —sosialidemokraatti viimekertainen vastalause asia pyrkimys väkivaltaisesti kumota voimassaoleva yhteiskuntajärjestys sivuuttaa toteuttaa valtiollinen tarkoitusperä näennäisesti löytyvinä verrattain tarkka määritelmä kapina hallitus ajatella luultavasti hallitus perustelu tulla laki voimaan vastaisuudessa tulkitsea sotatila sittenkin kaikki julistaa muu aikaisem min pykälää lause loppua sana sanoa tasavalta presidentti julistaa valtakunta takunta puolustus oikeusjärjestyinen voimassapitäminen vaatia kapina sota uhkaaa omistuskysymyknen nähden ryhtyä mikään — tekstimuutoknen esilläolevassa ehdotus vaikka esinä valiokunta olleenen la-tal uhata osa sotatila","Center",0,1,1,0,0
"Suomalainen puolue","http://ldf.fi/semparl/speeches/s1917_3_076_046","Kaila, Erkki",1867,1944,"Male","46-55","Civil_War","Short","kapina","sotilai tehdä sotilait tehtävä puolustaa isän#maa ulkonainen vihollinen sotilas surmata vihollinen sisäisi rintaa kapina taistelu käynti kapina loppua rauha palauttaa kuulua sotilaallinen tehdä kuolema tuomita teloitus tehtävä puolustaa isän#maa ulkonainen vihollinen sotilas surmata vihollinen sisäisi rintaa kapina taistelu käynti kapina loppua rauha palauttaa kuulua sotilaallinen tehdä kuolema tuomita teloitus vakuuttaa kunnollinen teloittaja saaminen","sotilai tehdä sotilait tehtävä puolustaa isänmaa ulkonainen vihollinen sotilas surmata vihollinen sisäisi rintaa kapina taistelu käynti kapina loppua rauha palauttaa kuulua sotilaallinen tehdä kuolema tuomita teloitus tehtävä puolustaa isänmaa ulkonainen vihollinen sotilas surmata vihollinen sisäisi rintaa kapina taistelu käynti kapina loppua rauha palauttaa kuulua sotilaallinen tehdä kuolema tuomita teloitus vakuuttaa kunnollinen teloittaja saaminen","Right",0,1,1,0,1
"Suomalainen puolue","http://ldf.fi/semparl/speeches/s1918_1_044_009","Kairamo, Oswald",1858,1938,"Male","56-65","Civil_War","Very Long","kapina","edus#kunta olla vakuu-tettu väite oikeutuknen pu he valtiovafainvalio#kunta herra puheen#johtaja äsken monipuolisesti valta bud.jetti puoli esilletuoa nälänhätä sota punainen kapina saavuttaa valtiollinen itsenäisyys yhteisesti luoda tulo menoarvio outo voida sellainen","eduskunta olla vakuu-tettu väite oikeutuknen pu he valtiovafainvaliokunta herra puheenjohtaja äsken monipuolisesti valta bud.jetti puoli esilletuoa nälänhätä sota punainen kapina saavuttaa valtiollinen itsenäisyys yhteisesti luoda tulo menoarvio outo voida sellainen","Right",0,1,1,0,0
"Suomalainen puolue","http://ldf.fi/semparl/speeches/s1917_3_068_016","Virkkunen, Artturi",1864,1924,"Male","46-55","Civil_War","Very Long","kapina","epäinhimillinen raakuus sivistyneä maailma kuulumattoa kapina järjestää yhteiskuntalaito törkeimpi isänmaa pettäminen keskustelu tuoda se mieli#pide kapina syy aiheuttaa jokin ohimenevä jonkunlainen kansassa ilmetä tilapäinen sairaloisuus ilmiö 1oka maa hallitus#muoto säädettää vähällä ryhtyä ilmisota ijärjestäytynys yhteiskunt talaito maa kulttuuri hävittää saada rosvo oikeus ilmetä yhteis#kunnallinen vaara vakavisti pidellä kapina nimittäin paljastaa arvaamattoma määrä syä kansankerroksi olla siveellis käsite hämmennä yhteis#kunnallinen taju puute taipumus antaua kaikenlainen syrjä tuleva houkutus kerros tuudittautua käsity kansa siveellinen tietopuolinen suhde okse korkea kanta käsitys näyttäytyä täydellinen harhaluulo kapina kanstaa parempi aines ta yhteinen voimainponnistuksi saada kukisteta rikollinen vangita odottaa tuomiota rauhallinen olo#tila ni el saada kukisteta rikollinen vangita odottaa tuomiota rauhallinen olo#tila ni el saattaa tyyn myrsky välissä kapina onnettomuus osa kansa syöstä täyttää sydän katkeruud hetki hyvä saattaa puhjtaa ilmiliekki","epäinhimillinen raakuus sivistyneä maailma kuulumattoa kapina järjestää yhteiskuntalaito törkeimpi isänmaa pettäminen keskustelu tuoda se mielipide kapina syy aiheuttaa jokin ohimenevä jonkunlainen kansassa ilmetä tilapäinen sairaloisuus ilmiö 1oka maa hallitusmuoto säädettää vähällä ryhtyä ilmisota ijärjestäytynys yhteiskunt talaito maa kulttuuri hävittää saada rosvo oikeus ilmetä yhteiskunnallinen vaara vakavisti pidellä kapina nimittäin paljastaa arvaamattoma määrä syä kansankerroksi olla siveellis käsite hämmennä yhteiskunnallinen taju puute taipumus antaua kaikenlainen syrjä tuleva houkutus kerros tuudittautua käsity kansa siveellinen tietopuolinen suhde okse korkea kanta käsitys näyttäytyä täydellinen harhaluulo kapina kanstaa parempi aines ta yhteinen voimainponnistuksi saada kukisteta rikollinen vangita odottaa tuomiota rauhallinen olotila ni el saada kukisteta rikollinen vangita odottaa tuomiota rauhallinen olotila ni el saattaa tyyn myrsky välissä kapina onnettomuus osa kansa syöstä täyttää sydän katkeruud hetki hyvä saattaa puhjtaa ilmiliekki","Right",0,1,1,1,0
