"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina","Natioanalism","Socialism","Pacifst"
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_083_107","Pennanen, Pekka",1872,1960,"Male","46-55","Civil_War","Very Long","kapina","voima nyky#hetki harjoittaa varsinainen kansanpolitiikka kansa tekeminen vaikeus synnyttää seikka äskettäin sisällinen kapina synnyttää epäilys josko kansa ulkopolitiikkaan voipi hoitaa yhtenäinen kansanvpolitiikka epäkohta olla rauha tärkeä ehto kansanvaltäinen edistys antaa vapaus auttaa eteenpäin pelätä mieli kansanvaltainen kehitys tulos punainen kapina pellä nimittäin väittää punainen kapina kansanvaltainen kehitys tuloksera niinkuin monasti sanoa henkinen rutto yhteis#kunnallinen antaa vapaus auttaa eteenpäin pelätä mieli kansanvaltainen kehitys tulos punainen kapina pellä nimittäin väittää punainen kapina kansanvaltainen kehitys tuloksera niinkuin monasti sanoa henkinen rutto yhteis#kunnallinen sairaustapaus syntyä venäjä äärimäinen monarkistinen maaperä","voima nykyhetki harjoittaa varsinainen kansanpolitiikka kansa tekeminen vaikeus synnyttää seikka äskettäin sisällinen kapina synnyttää epäilys josko kansa ulkopolitiikkaan voipi hoitaa yhtenäinen kansanvpolitiikka epäkohta olla rauha tärkeä ehto kansanvaltäinen edistys antaa vapaus auttaa eteenpäin pelätä mieli kansanvaltainen kehitys tulos punainen kapina pellä nimittäin väittää punainen kapina kansanvaltainen kehitys tuloksera niinkuin monasti sanoa henkinen rutto yhteiskunnallinen antaa vapaus auttaa eteenpäin pelätä mieli kansanvaltainen kehitys tulos punainen kapina pellä nimittäin väittää punainen kapina kansanvaltainen kehitys tuloksera niinkuin monasti sanoa henkinen rutto yhteiskunnallinen sairaustapaus syntyä venäjä äärimäinen monarkistinen maaperä","Center",0,1,0,1,1
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1917_3_067_004","Ståhlberg, K. J.",1865,1952,"Male","46-55","Civil_War","Very Long","kapina","vastainen yhteiskunnallinen valtiollinen tekijä tarvita ottaa lukuun kannatus vastustus tyytyväisyyt tyytymättömyys valtionlaitos lujuus edellytys käsitettää äskeinen kapina laillinen yhteis#kunta yhteiskuntajärjestys esiintyä yhteiskunnallinen siteitten höltyminen vallattomuus yhteishenki puute omia herättää epäluottamus suomi kansa kyky kunto","vastainen yhteiskunnallinen valtiollinen tekijä tarvita ottaa lukuun kannatus vastustus tyytyväisyyt tyytymättömyys valtionlaitos lujuus edellytys käsitettää äskeinen kapina laillinen yhteiskunta yhteiskuntajärjestys esiintyä yhteiskunnallinen siteitten höltyminen vallattomuus yhteishenki puute omia herättää epäluottamus suomi kansa kyky kunto","Center",0,1,1,1,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1907_1_023_044","Castrén, Jonas",1850,1922,"Male","56-65",NA,"Short","vallankumous","mahdollisuus myöten täyttää yhteiskunnallinen juop olla kansankerroksi vallankumous puhua alituisesti uhata maalata vallankumous tietämätön työ#väki raha porvarillinen silmä kiihotuknen edellinen pelotus jälkimäisi tuollainen taktiikka hyödyllinen taktiikka nojalla sosiaali#demokraatti","mahdollisuus myöten täyttää yhteiskunnallinen juop olla kansankerroksi vallankumous puhua alituisesti uhata maalata vallankumous tietämätön työväki raha porvarillinen silmä kiihotuknen edellinen pelotus jälkimäisi tuollainen taktiikka hyödyllinen taktiikka nojalla sosiaalidemokraatti","Center",1,0,0,1,0
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1907_1_023_019","Castrén, Jonas",1850,1922,"Male","56-65",NA,"Very Long","vallankumous","kummeksittava millainen vallita suuri sosialistijouko tieteellinen sosialismi edustaja julkeaa asettua tällainen periaatteellinen kanta aikakauskirja lokakuu kirjoituknen anarki vallankumous sanoa m m numero aikainen väkivallanteko katsella arvostella sama friari teko sellainen","kummeksittava millainen vallita suuri sosialistijouko tieteellinen sosialismi edustaja julkeaa asettua tällainen periaatteellinen kanta aikakauskirja lokakuu kirjoituknen anarki vallankumous sanoa m m numero aikainen väkivallanteko katsella arvostella sama friari teko sellainen","Center",1,0,0,1,0
"Nuorsuomalaiset (1994-1999)","http://ldf.fi/semparl/speeches/s1995_1_036_146","Penttilä, Risto",1959,NA,"Male","36-45","1960-2000","Very Short","vallankumous","avautua yhteis#kunta tarve suuri muutos teknologia harppauknen vaikuttaa yhteiskuntaa laita laita alhaalta erityinen voimakkaasti käynti teknologinen vallankumous muuttaa työ filosofia asema yhteis#kunta ihminen arvomaaila nykytila eriskummallinen työ puute säädellä saatavuus tapa marxilainen analyytää tunteminen marx todeta muutos tuotantovälinei aiheuttaa muutos yhteiskunnallinen aatteellinen rakente marx kohta oikea tapa teollinen vallankumous myllertää länsi#mainen yhteis#kunta 1700#luku lopulta elää teknologinen vallankumous myllertää yhteiskuntaa vuosikymmen eteenpäin kaikkein paha tällainen myllerryknen jäädä roikkua vanha","avautua yhteiskunta tarve suuri muutos teknologia harppauknen vaikuttaa yhteiskuntaa laita laita alhaalta erityinen voimakkaasti käynti teknologinen vallankumous muuttaa työ filosofia asema yhteiskunta ihminen arvomaaila nykytila eriskummallinen työ puute säädellä saatavuus tapa marxilainen analyytää tunteminen marx todeta muutos tuotantovälinei aiheuttaa muutos yhteiskunnallinen aatteellinen rakente marx kohta oikea tapa teollinen vallankumous myllertää länsimainen yhteiskunta 1700luku lopulta elää teknologinen vallankumous myllertää yhteiskuntaa vuosikymmen eteenpäin kaikkein paha tällainen myllerryknen jäädä roikkua vanha","Center",1,0,0,1,0
"Perussuomalaiset","http://ldf.fi/semparl/speeches/s2012_1_127_139","Soini, Timo",1962,NA,"Male","46-55","2001-Present","Long","sisällissota","selvitys viidennes väestö valio#kunta esittää huoli orjuus orjuus kaltainen kohtelu esiintyminen sahella alue kehityshaaste turvallisuustila sahella alue heiketä uhkaavasti libya sisällissota yhteis#kunnallinen liikehdin algeria maroko mauritania heijastua saheli alue luoa paine poliittinen taloudellinen uudistunen toteuttaminen libya norsunluuranniko alue levitä ase","selvitys viidennes väestö valiokunta esittää huoli orjuus orjuus kaltainen kohtelu esiintyminen sahella alue kehityshaaste turvallisuustila sahella alue heiketä uhkaavasti libya sisällissota yhteiskunnallinen liikehdin algeria maroko mauritania heijastua saheli alue luoa paine poliittinen taloudellinen uudistunen toteuttaminen libya norsunluuranniko alue levitä ase","Right",0,0,0,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1927_1_042_124","Liedes, Jaakko",1886,1958,"Male","36-45","1920-1960","Very Long","kapina","syy nykyinen yhteis#kunta sisäinen nu sellainen rinkurisuus järjettömyys saattaa tapahtua nykyinen kapitalistinen valtio taloudellinen valtiollinen toiminta määrä muutama harva voitonhimo kapina tällainen yhteis#kunnallinen järjestys ymmärrettää ottaa huomio vuosittain uudistua kokemus työtätekevä väestö huutaa puute työttömyys kynsi pitää valtio velvollisuus varata osa","syy nykyinen yhteiskunta sisäinen nu sellainen rinkurisuus järjettömyys saattaa tapahtua nykyinen kapitalistinen valtio taloudellinen valtiollinen toiminta määrä muutama harva voitonhimo kapina tällainen yhteiskunnallinen järjestys ymmärrettää ottaa huomio vuosittain uudistua kokemus työtätekevä väestö huutaa puute työttömyys kynsi pitää valtio velvollisuus varata osa","Center",0,1,1,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1928_1_059_037","Kulmala, Kalle",1891,1936,"Male","36-45","1920-1960","Long","kansalaissota, vapaussota, luokkasota","huomauttaa päivä viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua julkea väärentäminen se joulukun päivä merkitä riippumattomuus julistamispäivä suorittaa silloinen edus#kunta yksimielisesti osoitus tammikuu loppu porvaristo aloittaa syntyä luokkasota taistelu valtiollinen itsenäisyys luokka välinen sota yhteis#kunnallinen valta työläinen torppari#luokka luokkataisteluehto yhteis#kunnallinen prosessi pakottaa käydä vallankumoustaistelu elämä","huomauttaa päivä viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua viettää porvaristo itsenäisyys päivä valhesisä lö porvaristo viettää päivä militaristinen kiihoitus merkki tavallisesti aloittaa historiallinen valhe kansalaissota valkoinen taho vapaussota neuvosto-venäjä venäjä edelleen varustaa porvaristo asenne perusteluna tämä vaadittavi sotamiljooni lausua julkea väärentäminen se joulukun päivä merkitä riippumattomuus julistamispäivä suorittaa silloinen eduskunta yksimielisesti osoitus tammikuu loppu porvaristo aloittaa syntyä luokkasota taistelu valtiollinen itsenäisyys luokka välinen sota yhteiskunnallinen valta työläinen torppariluokka luokkataisteluehto yhteiskunnallinen prosessi pakottaa käydä vallankumoustaistelu elämä","Center",0,0,1,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1927_1_019_017","Pekkala, Eino",1887,1956,"Male","36-45","1920-1960","Long","kapina","tasa#valta presidentti valta#kunta puolustaminen oikeusjärjestys voimassapitäminen vaatia julistaa valta#kunta määrätyä osa sota#tila huomata määritellä kapina antaa mahdollisuus selittää melkein yhteis#kunnallinen liikehtiminen kapina sellainen tekosy nojalla julistaa sota#tila saattaa maa työtätekevä väki täydellinen","tasavalta presidentti valtakunta puolustaminen oikeusjärjestys voimassapitäminen vaatia julistaa valtakunta määrätyä osa sotatila huomata määritellä kapina antaa mahdollisuus selittää melkein yhteiskunnallinen liikehtiminen kapina sellainen tekosy nojalla julistaa sotatila saattaa maa työtätekevä väki täydellinen","Center",0,1,0,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1929_1_009_022","Rosenberg, Mauritz",1879,1941,"Male","46-55","1920-1960","Long","vallankumous","samanlainen ihmis#oikeus yhteiskunnal linen elämä jatkuvaisuudi alkeellinen oikeus säilyttäminen eläminen ehto silloinkuin ehto lakata yhteis#kunnallinen elämä muutos s t s vallankumous luoda luokka alistua ei alistua sellainen järjestelmä kasvaa rikkaus kerääntyä harve käsi laaja","samanlainen ihmisoikeus yhteiskunnal linen elämä jatkuvaisuudi alkeellinen oikeus säilyttäminen eläminen ehto silloinkuin ehto lakata yhteiskunnallinen elämä muutos s t s vallankumous luoda luokka alistua ei alistua sellainen järjestelmä kasvaa rikkaus kerääntyä harve käsi laaja","Center",1,0,0,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1927_1_032_051","Rosenberg, Mauritz",1879,1941,"Male","46-55","1920-1960","Long","vallankumous","ministeri mieli hävittää hävityknen ministeri suositella sija ase yhteiskuntaa linen reformi myöntää ajatus niin huono minä samkoa yhteis#kunnallinen vallankumous lähellä sopiva reformei kyetä pitää työ#väki porvarillinen yhteis#kunta lumoi sopia koettaa este asettaa päinvastoin osoittaa","ministeri mieli hävittää hävityknen ministeri suositella sija ase yhteiskuntaa linen reformi myöntää ajatus niin huono minä samkoa yhteiskunnallinen vallankumous lähellä sopiva reformei kyetä pitää työväki porvarillinen yhteiskunta lumoi sopia koettaa este asettaa päinvastoin osoittaa","Center",1,0,0,1,0
"Pienviljelijäin puolue","http://ldf.fi/semparl/speeches/s1929_1_011_040","Tanner, William",1884,NA,"Male","36-45","1920-1960","Long","vapaussota","ylläpitäminen lievenne porvaristo kyetä muuten poistaa väitös porvarienkki myöntää tosi niin aikakaus#lehti itsenäinen suomi huhtikuu päivä numero m.m sanoa vapaus#sota lyödä haja kansa heimoittain kalla kansanluokittain uudenaikainen sosialismi tunkeutua kansa keskuus itsenäisyystaistelä kansankapi sosialistinen työväenluokka","ylläpitäminen lievenne porvaristo kyetä muuten poistaa väitös porvarienkki myöntää tosi niin aikakauslehti itsenäinen suomi huhtikuu päivä numero m.m sanoa vapaussota lyödä haja kansa heimoittain kalla kansanluokittain uudenaikainen sosialismi tunkeutua kansa keskuus itsenäisyystaistelä kansankapi sosialistinen työväenluokka","Center",0,0,0,1,0
"Remonttiryhmä","http://ldf.fi/semparl/speeches/s1998_1_129_018","Kuisma, Risto",1947,NA,"Male","46-55","1960-2000","Long","kapina","ulkoinen olo#suhde 90#luku auttaa pitää yhteis#kunta kasa hyvä sosiaaliturva ostaa kansalainen hiljaisuus suu kiinni kapina näkyä raha loppua suhdane kääntyä tosi pula ikävä totuus valketä","ulkoinen olosuhde 90luku auttaa pitää yhteiskunta kasa hyvä sosiaaliturva ostaa kansalainen hiljaisuus suu kiinni kapina näkyä raha loppua suhdane kääntyä tosi pula ikävä totuus valketä",NA,0,1,0,1,0
"Sosialistinen työväen ja pienviljelijöiden vaalijärjestö","http://ldf.fi/semparl/speeches/s1926_1_061_035","Jokela, Edvard",1889,1929,"Male","36-45","1920-1960","Short","kapina","muutama puhuja huomauttanee valta luokka käsitys viimeinen kulua paraillaanki vallitsea sellainen käsitys sota kapina puhkeaa työtaistelu luonnollinen työ pää#oma välinen aktiivinen taisteluilmiö kaikkiha selittää kapina lakiehdotus sanoa","muutama puhuja huomauttanee valta luokka käsitys viimeinen kulua paraillaanki vallitsea sellainen käsitys sota kapina puhkeaa työtaistelu luonnollinen työ pääoma välinen aktiivinen taisteluilmiö kaikkiha selittää kapina lakiehdotus sanoa","Left",0,1,0,1,0
"Suomalainen puolue","http://ldf.fi/semparl/speeches/s1917_3_067_003","Paasikivi, J.K.",1870,1956,"Male","46-55","Civil_War","Very Long","kapina","venä sallia vastustus erota itsenäinen #valtio valmistaa olla esitys hallitusmuodo hallitus jäsen lukuunottamatta asettua perustuslaillinen monarkia pohja äsken kukistaa kapina osa maa kansalainen yhtyä vieraanen valta kumota yhteis#kunta oikeusjärjestys sivistyselämä syö maa kansalais#sota kauhu osoittaa pitkälle menä yhteiskunnallinen side höltyminen","venä sallia vastustus erota itsenäinen valtio valmistaa olla esitys hallitusmuodo hallitus jäsen lukuunottamatta asettua perustuslaillinen monarkia pohja äsken kukistaa kapina osa maa kansalainen yhtyä vieraanen valta kumota yhteiskunta oikeusjärjestys sivistyselämä syö maa kansalaissota kauhu osoittaa pitkälle menä yhteiskunnallinen side höltyminen","Right",0,1,0,1,0
